"dataset_label","dataset_used","detection_method","model_used","num_samples","tpr_at_0_1pct_fpr","fpr_at_80pct_tpr","roc_auc"
"Original clean","hc3_unified_10000_seed42_clean_test.csv","gptzero_like","gptzero_like_logistic_regression","32624","0.5038958657988817","0.0022565047202394","0.9960751142724332"
"Original clean","hc3_unified_10000_seed42_clean_test.csv","svm_tfidf","linear_svm_tfidf","32624","0.9369328077733982","0.0","0.9995847632140352"
"Original clean","hc3_unified_10000_seed42_clean_test.csv","xgboost_tfidf","xgboost_tfidf","32624","0.8492987441562013","0.0004605111673958","0.9987167847244532"
"Stylistic cleanup","hc3_stylistic_cleanup_10000_clean_test.csv","gptzero_like","gptzero_like_logistic_regression","31244","0.5405603945849512","0.0021183513700207","0.9975801005629"
"Stylistic cleanup","hc3_stylistic_cleanup_10000_clean_test.csv","svm_tfidf","linear_svm_tfidf","31244","0.9542449365096024","0.0","0.999739457675972"
"Stylistic cleanup","hc3_stylistic_cleanup_10000_clean_test.csv","xgboost_tfidf","xgboost_tfidf","31244","0.8769020883618428","0.0002302555836979","0.999069433016708"
"Paraphrase depth 1","hc3_gpt_5_4_mini_recursive_paraphrase_depth_1_10000_clean_test.csv","gptzero_like","gptzero_like_logistic_regression","32624","0.007700064167201299","0.0937140225650472","0.9366465765908398"
"Paraphrase depth 1","hc3_gpt_5_4_mini_recursive_paraphrase_depth_1_10000_clean_test.csv","svm_tfidf","linear_svm_tfidf","32624","0.3928866073883949","0.0077365876122495","0.9935848628809952"
"Paraphrase depth 1","hc3_gpt_5_4_mini_recursive_paraphrase_depth_1_10000_clean_test.csv","xgboost_tfidf","xgboost_tfidf","32624","0.5886882390686589","0.0043288049735206","0.996061156254512"
"Paraphrase depth 2","hc3_gpt_5_4_mini_recursive_paraphrase_depth_2_10000_clean_test.csv","gptzero_like","gptzero_like_logistic_regression","32625","0.0098075160403299","0.0995625143909739","0.933729230830273"
"Paraphrase depth 2","hc3_gpt_5_4_mini_recursive_paraphrase_depth_2_10000_clean_test.csv","svm_tfidf","linear_svm_tfidf","32625","0.4848762603116407","0.0053879806585309","0.9950701287595136"
"Paraphrase depth 2","hc3_gpt_5_4_mini_recursive_paraphrase_depth_2_10000_clean_test.csv","xgboost_tfidf","xgboost_tfidf","32625","0.6340054995417048","0.0029472714713331","0.9968977186124812"
"Paraphrase depth 3","hc3_gpt_5_4_mini_recursive_paraphrase_depth_3_10000_clean_test.csv","gptzero_like","gptzero_like_logistic_regression","32625","0.0056828597616865","0.1144370250978586","0.9225777397512523"
"Paraphrase depth 3","hc3_gpt_5_4_mini_recursive_paraphrase_depth_3_10000_clean_test.csv","svm_tfidf","linear_svm_tfidf","32625","0.3565536205316224","0.0090720699976974","0.9926477471569978"
"Paraphrase depth 3","hc3_gpt_5_4_mini_recursive_paraphrase_depth_3_10000_clean_test.csv","xgboost_tfidf","xgboost_tfidf","32625","0.5638863428047662","0.004605111673958","0.9959605847183316"
